Benchmark,Size,Size_KB,Assoc,Policy,InitProb,IPC,L2_Miss_Rate,L2_MPKI,Effective_Bypasses,Ineffective_Bypasses,Sim_Seconds,Writebacks
LU,512kB,512,8w,AdaptiveBypassRP,20,0.2213676069491156,0.00372,0.06996461272605099,0,77,0.733992,2992896.0
LU,512kB,512,8w,AdaptiveBypassRP,0,0.2213675855359529,0.003713,0.06982305870663692,0,14,0.733992,2992897.0
LU,512kB,512,8w,AdaptiveBypassRP,80,0.22136776649238782,0.00372,0.06995230368088455,2,111,0.733992,2992897.0
LU,512kB,512,8w,AdaptiveBypassRP,100,0.22136758040885823,0.00372,0.06995845820346777,2,119,0.733992,2992898.0
LU,1MB,1024,8w,LRURP,50,0.22139106557302063,0.003389,0.06373007154354449,0,0,0.733915,2993646.0
LU,1MB,1024,8w,AdaptiveBypassRP,50,0.22139028036068864,0.003397,0.06388393458445116,0,132,0.733917,2993646.0
LU,1MB,1024,8w,AdaptiveBypassRP,20,0.22138991626296883,0.003398,0.06390239814935995,0,99,0.733919,2993646.0
LU,1MB,1024,8w,AdaptiveBypassRP,0,0.22139106557302063,0.003389,0.06373007154354449,0,0,0.733915,2993646.0
LU,1MB,1024,8w,AdaptiveBypassRP,80,0.221389881874348,0.003398,0.0638962436277237,0,166,0.733919,2993646.0
LU,1MB,1024,8w,AdaptiveBypassRP,100,0.221389881874348,0.003399,0.06392086171426876,0,178,0.733919,2993646.0
MG,128kB,128,8w,LRURP,50,0.16747660825542923,0.932842,17.226084144591884,0,0,0.129641,380770.0
MG,128kB,128,8w,AdaptiveBypassRP,50,0.16749495779134313,0.932882,17.226697177846376,1004,62,0.129627,380196.0
MG,128kB,128,8w,AdaptiveBypassRP,20,0.16751711981861608,0.932857,17.22644705324024,954,52,0.12961,380209.0
MG,128kB,128,8w,AdaptiveBypassRP,0,0.16752025459937886,0.932844,17.225995995916698,1017,34,0.129607,380193.0
MG,128kB,128,8w,AdaptiveBypassRP,80,0.16750723771384704,0.932934,17.227754128095903,956,60,0.129617,380212.0
MG,128kB,128,8w,AdaptiveBypassRP,100,0.16749733830335095,0.932837,17.22598726860962,1005,57,0.129625,380190.0
MG,256kB,256,8w,LRURP,50,0.17006631585894724,0.871965,16.10199854558612,0,0,0.127667,386592.0
MG,256kB,256,8w,AdaptiveBypassRP,50,0.17014581919637137,0.87009,16.067359363856887,218,127,0.127607,386689.0
MG,256kB,256,8w,AdaptiveBypassRP,20,0.17015909277771826,0.87005,16.066623918873397,229,123,0.127597,386703.0
MG,256kB,256,8w,AdaptiveBypassRP,0,0.1701672185337036,0.869859,16.06299718872102,222,93,0.127591,386746.0
MG,256kB,256,8w,AdaptiveBypassRP,80,0.17015508413821767,0.869942,16.06451709773282,226,128,0.1276,386718.0
MG,256kB,256,8w,AdaptiveBypassRP,100,0.1701603413500534,0.870045,16.066527363308733,216,134,0.127596,386701.0
MG,512kB,512,8w,LRURP,50,0.1784962259134647,0.675144,12.467438844534435,0,0,0.121638,406947.0
MG,512kB,512,8w,AdaptiveBypassRP,50,0.17851777468254285,0.673959,12.44551933208762,100,1023,0.121623,407203.0
MG,512kB,512,8w,AdaptiveBypassRP,20,0.17852064550318808,0.673982,12.445966726101176,100,1019,0.121621,407203.0
MG,512kB,512,8w,AdaptiveBypassRP,0,0.17851549259632432,0.674019,12.446574649579398,126,1004,0.121624,407201.0
MG,512kB,512,8w,AdaptiveBypassRP,80,0.1785358275291863,0.673994,12.446198734792292,94,1068,0.121611,407197.0
MG,512kB,512,8w,AdaptiveBypassRP,100,0.17852711776124316,0.674069,12.44757760219014,107,1076,0.121617,407185.0
MG,1MB,1024,8w,LRURP,50,0.2102544576604149,0.078173,1.4435767948496045,0,0,0.103266,387016.0
MG,1MB,1024,8w,AdaptiveBypassRP,50,0.21026694271474297,0.078101,1.4422426583174968,9,308,0.103259,387068.0
MG,1MB,1024,8w,AdaptiveBypassRP,20,0.2102660677022032,0.078104,1.4422882507602006,9,288,0.10326,387059.0
MG,1MB,1024,8w,AdaptiveBypassRP,0,0.21026306567077674,0.078164,1.443394094303252,5,123,0.103261,387068.0
MG,1MB,1024,8w,AdaptiveBypassRP,80,0.21027683530401448,0.078151,1.4431621453972734,2,353,0.103255,387032.0
MG,1MB,1024,8w,AdaptiveBypassRP,100,0.21026621867436887,0.078176,1.4436223203244283,6,371,0.10326,387060.0
